"iv_malla_modi_id","year","evi_min","evi_max","evi_mean","evi_mean_all","evi_cv","date_max","month_max"
142799,2000,0.1684,0.3394,4.5445,4.5445,0.0376279018593905,"2000-06-08",6
142799,2001,0.1561,0.3498,5.1022,5.1022,0.0379640155227157,"2001-06-25",6
142799,2002,0.1413,0.3074,4.8848,4.8848,0.0340034392400917,"2002-05-08",5
142799,2003,0.1318,0.386,5.1645,5.1645,0.0492206409139316,"2003-10-31",10
142799,2004,0.1487,0.357,5.7575,5.7575,0.0361788970907512,"2004-06-24",6
142799,2005,0.109,0.2745,4.3522,4.3522,0.038026745094435,"2005-05-24",5
142799,2006,0.1318,0.3029,4.7662,4.7662,0.0358986194452604,"2006-05-24",5
142799,2007,0.1338,0.3296,4.7881,4.7881,0.0408930473465466,"2007-06-09",6
142799,2008,0.1388,0.3204,5.1692,5.1692,0.0351311614950089,"2008-05-23",5
142799,2009,0.1513,0.3021,5.1818,5.1818,0.0291018564977421,"2009-03-05",3
142799,2010,0.1155,0.3081,5.1818,5.1818,0.0371685514686017,"2010-06-09",6
142799,2011,0.1105,0.3564,5.5261,5.5261,0.044497928014332,"2011-11-16",11
142799,2012,0.1024,0.316,4.9277,4.9277,0.0433467946506484,"2012-06-24",6
142799,2013,0.1126,0.3381,4.7657,4.7657,0.0473172881213673,"2013-09-29",9
142800,2000,0.1914,0.3338,4.7306,4.7306,0.030101889823701,"2000-11-15",11
142800,2001,0.1824,0.6124,5.7463,5.7463,0.0748307606633834,"2001-02-01",2
142800,2002,0.1266,0.3415,5.1959,5.1959,0.0413595334783194,"2002-08-12",8
142800,2003,0.1561,0.386,5.5239,5.5239,0.0416191458933,"2003-10-31",10
142800,2004,0.1468,0.3941,6.4511,6.4511,0.0383345475965339,"2004-03-04",3
142800,2005,0.1422,0.2697,4.8465,4.8465,0.0263076446920458,"2005-04-22",4
142800,2006,0.1318,0.3119,5.2081,5.2081,0.0345807492175649,"2006-05-08",5
142800,2007,0.11,0.3133,4.9736,4.9736,0.0408758243525816,"2007-10-31",10
142800,2008,0.1351,0.317,5.3214,5.3214,0.0341827338670275,"2008-11-15",11
142800,2009,0.1647,0.4165,5.6407,5.6407,0.0446398496640488,"2009-02-17",2
142800,2010,0.1864,0.3631,5.8805,5.8805,0.030048465266559,"2010-02-17",2
142800,2011,0.1624,0.3629,6.1177,6.1177,0.0327737548425062,"2011-07-27",7
142800,2012,0.143,0.3006,5.3586,5.3586,0.0294106669652521,"2012-07-10",7
142800,2013,0.183,0.4151,5.232,5.232,0.044361620795107,"2013-03-05",3
142801,2000,0.2275,0.3454,5.3447,5.3447,0.0220592362527364,"2000-06-08",6
142801,2001,0.231,0.3827,6.099,6.099,0.0248729299885227,"2001-01-16",1
142801,2002,0.2271,0.3444,6.2711,6.2711,0.018704852418236,"2002-08-12",8
142801,2003,0.2107,0.3417,6.2121,6.2121,0.0210878768854333,"2003-10-31",10
142801,2004,0.2276,0.405,7.3527,7.3527,0.024127191371877,"2004-02-17",2
142801,2005,0.1694,0.3102,5.9799,5.9799,0.0235455442398702,"2005-05-24",5
142801,2006,0.1825,0.3119,5.9153,5.9153,0.0218754754619377,"2006-05-08",5
142801,2007,0.1801,0.3225,5.5133,5.5133,0.0258284511998259,"2007-06-09",6
142801,2008,0.2136,0.3344,6.2146,6.2146,0.0194380973835806,"2008-05-23",5
142801,2009,0.2155,0.3934,6.3179,6.3179,0.0281580905047563,"2009-01-02",1
142801,2010,0.2353,0.3631,6.7605,6.7605,0.0189039272243177,"2010-02-17",2
142801,2011,0.2349,0.3652,6.9956,6.9956,0.018625993481617,"2011-11-16",11
142801,2012,0.2021,0.3401,6.1909,6.1909,0.0222907816311037,"2012-10-30",10
142801,2013,0.2519,0.4079,5.9841,5.9841,0.0260690830701359,"2013-03-05",3
