"iv_malla_modi_id","mq_evi_mean","mq_evi_cv","mq_max","mq_evi_meanL","mq_evi_cvL","clu"
169250,3,3,1,"C","c","Cc1"
169251,3,2,1,"C","b","Cb1"
169892,2,2,1,"B","b","Bb1"
169893,3,1,4,"C","a","Ca4"
169894,4,3,3,"D","c","Dc3"
169895,4,1,4,"D","a","Da4"
169896,4,3,3,"D","c","Dc3"
169897,4,2,4,"D","b","Db4"
169923,1,4,3,"A","d","Ad3"
169924,1,4,2,"A","d","Ad2"
169925,3,3,2,"C","c","Cc2"
169926,3,3,1,"C","c","Cc1"
169927,2,3,1,"B","c","Bc1"
169928,3,2,1,"C","b","Cb1"
169929,3,3,1,"C","c","Cc1"
169930,3,1,1,"C","a","Ca1"
170570,3,3,1,"C","c","Cc1"
170571,2,2,1,"B","b","Bb1"
170572,3,1,1,"C","a","Ca1"
170573,3,1,1,"C","a","Ca1"
170574,4,2,3,"D","b","Db3"
170575,4,2,4,"D","b","Db4"
170576,4,2,4,"D","b","Db4"
170602,1,4,1,"A","d","Ad1"
170603,1,4,2,"A","d","Ad2"
170604,2,3,1,"B","c","Bc1"
170605,2,3,1,"B","c","Bc1"
170606,2,3,1,"B","c","Bc1"
170607,2,3,1,"B","c","Bc1"
170608,2,2,1,"B","b","Bb1"
170609,3,1,1,"C","a","Ca1"
171248,3,1,3,"C","a","Ca3"
171249,3,2,3,"C","b","Cb3"
171250,3,1,3,"C","a","Ca3"
171251,4,1,1,"D","a","Da1"
171252,4,1,1,"D","a","Da1"
171253,4,2,4,"D","b","Db4"
171254,4,2,4,"D","b","Db4"
171255,4,2,3,"D","b","Db3"
171257,4,1,4,"D","a","Da4"
171281,1,4,1,"A","d","Ad1"
171282,2,4,2,"B","d","Bd2"
171283,2,4,2,"B","d","Bd2"
171284,3,4,2,"C","d","Cd2"
171285,2,4,2,"B","d","Bd2"
171286,2,3,2,"B","c","Bc2"
171287,2,3,2,"B","c","Bc2"
171288,2,2,1,"B","b","Bb1"
171925,3,1,3,"C","a","Ca3"
171926,3,2,1,"C","b","Cb1"
171927,3,2,1,"C","b","Cb1"
171928,3,1,3,"C","a","Ca3"
171929,4,1,3,"D","a","Da3"
171930,4,1,3,"D","a","Da3"
171931,4,1,3,"D","a","Da3"
171932,4,1,4,"D","a","Da4"
171933,4,1,4,"D","a","Da4"
171934,4,2,4,"D","b","Db4"
171935,4,2,3,"D","b","Db3"
