"iv_malla_modi_id","mq_evi_mean","mq_evi_cv","mq_max","mq_evi_meanL","mq_evi_cvL","clu"
224224,3,1,2,"C","a","Ca2"
224225,3,2,2,"C","b","Cb2"
224226,4,2,2,"D","b","Db2"
224227,3,2,2,"C","b","Cb2"
224228,2,2,1,"B","b","Bb1"
224229,2,1,1,"B","a","Ba1"
224230,3,1,1,"C","a","Ca1"
224231,4,1,1,"D","a","Da1"
224232,4,1,1,"D","a","Da1"
224233,4,2,1,"D","b","Db1"
224886,3,1,4,"C","a","Ca4"
224887,3,1,4,"C","a","Ca4"
224888,3,1,4,"C","a","Ca4"
224889,3,1,4,"C","a","Ca4"
224890,3,1,2,"C","a","Ca2"
224891,3,1,1,"C","a","Ca1"
224892,3,1,1,"C","a","Ca1"
224893,3,1,1,"C","a","Ca1"
224894,4,1,1,"D","a","Da1"
224895,4,2,1,"D","b","Db1"
224896,4,1,1,"D","a","Da1"
224897,4,1,1,"D","a","Da1"
224898,4,1,1,"D","a","Da1"
224900,4,1,1,"D","a","Da1"
224901,4,1,1,"D","a","Da1"
224902,3,1,1,"C","a","Ca1"
224903,3,1,2,"C","a","Ca2"
224904,3,2,2,"C","b","Cb2"
224905,3,2,1,"C","b","Cb1"
224906,3,2,2,"C","b","Cb2"
224907,2,2,1,"B","b","Bb1"
224908,2,1,1,"B","a","Ba1"
224909,3,1,1,"C","a","Ca1"
224910,4,1,1,"D","a","Da1"
224911,4,1,1,"D","a","Da1"
225566,3,1,3,"C","a","Ca3"
225567,3,1,4,"C","a","Ca4"
225568,3,1,4,"C","a","Ca4"
225569,3,1,2,"C","a","Ca2"
225570,3,1,1,"C","a","Ca1"
225571,3,1,1,"C","a","Ca1"
225572,3,1,1,"C","a","Ca1"
225573,4,1,1,"D","a","Da1"
225574,4,2,1,"D","b","Db1"
225575,4,1,1,"D","a","Da1"
225576,4,1,1,"D","a","Da1"
225577,4,1,1,"D","a","Da1"
225580,4,1,1,"D","a","Da1"
225581,4,1,1,"D","a","Da1"
225582,3,1,1,"C","a","Ca1"
225583,4,2,1,"D","b","Db1"
225584,4,2,1,"D","b","Db1"
225585,3,1,1,"C","a","Ca1"
225586,3,1,2,"C","a","Ca2"
225587,3,1,1,"C","a","Ca1"
225588,3,1,1,"C","a","Ca1"
225589,4,1,1,"D","a","Da1"
226245,3,1,4,"C","a","Ca4"
226246,3,1,4,"C","a","Ca4"
226247,3,1,4,"C","a","Ca4"
226248,3,1,1,"C","a","Ca1"
226249,4,1,1,"D","a","Da1"
226250,3,1,1,"C","a","Ca1"
226251,3,1,1,"C","a","Ca1"
226252,4,1,1,"D","a","Da1"
226253,4,1,1,"D","a","Da1"
226254,4,1,1,"D","a","Da1"
226263,4,1,1,"D","a","Da1"
226264,3,1,1,"C","a","Ca1"
226265,3,1,1,"C","a","Ca1"
226266,3,1,1,"C","a","Ca1"
226267,3,1,1,"C","a","Ca1"
226925,3,1,4,"C","a","Ca4"
226926,3,1,2,"C","a","Ca2"
226927,4,1,1,"D","a","Da1"
226928,4,1,1,"D","a","Da1"
226929,3,1,1,"C","a","Ca1"
226931,3,1,1,"C","a","Ca1"
226932,3,1,1,"C","a","Ca1"
227604,3,1,1,"C","a","Ca1"
227605,3,1,1,"C","a","Ca1"
227606,3,1,1,"C","a","Ca1"
